date,iso_pred,iso_anomaly_score
2017-07-17,-1,0.17039180125777698
2017-07-28,-1,0.1242335143517419
2017-09-18,-1,0.018693354647254856
2017-10-01,-1,0.009402985276842135
2017-07-15,-1,0.004656932953724935
2017-08-24,1,-0.00864858977120353
2017-08-01,1,-0.016213291561284815
2017-08-08,1,-0.029340676634389218
2017-08-29,1,-0.033295940805501134
2017-07-08,1,-0.03383414788870642
2017-10-02,1,-0.042513934567976475
2017-07-14,1,-0.04537863911581663
2017-07-20,1,-0.058546904012967416
2017-07-27,1,-0.06392365449078946
2017-07-13,1,-0.06699422702765273
2017-09-29,1,-0.06733779034067716
2017-07-11,1,-0.07253820676334766
2017-07-12,1,-0.07334809927045433
2017-10-03,1,-0.0804941739206837
2017-07-16,1,-0.08314052475094519
2017-07-10,1,-0.08894142327184418
2017-09-07,1,-0.09355810508993789
2017-08-09,1,-0.0989927362780117
2017-09-26,1,-0.10003960088104769
2017-08-18,1,-0.10170132029569134
2017-07-18,1,-0.10253576300976608
2017-07-09,1,-0.10409171292737934
2017-07-07,1,-0.10850321089211706
2017-08-31,1,-0.10971682616299044
2017-07-24,1,-0.11128911589474305
2017-09-19,1,-0.11281801165834227
2017-08-27,1,-0.11296034417213463
2017-08-19,1,-0.11762031559187153
2017-09-14,1,-0.11770702745243139
2017-08-22,1,-0.12226732728006201
2017-07-19,1,-0.12248791955291533
2017-08-10,1,-0.12471262510305642
2017-07-21,1,-0.1253882126926653
2017-09-20,1,-0.12845295869738427
2017-09-01,1,-0.13189442130951035
2017-08-26,1,-0.13336339897747773
2017-08-14,1,-0.1359117330594996
2017-08-21,1,-0.1367686041674276
2017-07-31,1,-0.13743114948345098
2017-08-17,1,-0.13914760639520157
2017-07-25,1,-0.1407156021671721
2017-08-07,1,-0.14074096893712051
2017-09-27,1,-0.1413152668166735
2017-08-30,1,-0.1427753374002127
2017-09-05,1,-0.14510393639252017
2017-08-25,1,-0.14586551266262054
2017-08-02,1,-0.14679779949330207
2017-08-15,1,-0.14772984693028451
2017-09-10,1,-0.14814988850227595
2017-08-06,1,-0.1485244660966804
2017-09-21,1,-0.1508259708115327
2017-09-16,1,-0.15088289960035162
2017-09-28,1,-0.1527064039453518
2017-08-23,1,-0.1533755460441431
2017-09-09,1,-0.1550279683993504
2017-08-20,1,-0.15518900779575867
2017-08-28,1,-0.15556978617483014
2017-07-23,1,-0.1571287712743873
2017-08-03,1,-0.15757272134105238
2017-09-22,1,-0.1579022749686278
2017-07-22,1,-0.1585129301422425
2017-09-24,1,-0.1591608833896772
2017-09-17,1,-0.1596676551674604
2017-07-29,1,-0.16179334267909912
2017-09-11,1,-0.16297794668693916
2017-09-15,1,-0.16385893770254917
2017-09-02,1,-0.16459535624432625
2017-08-16,1,-0.16515384841761865
2017-09-13,1,-0.16528153234357995
2017-08-12,1,-0.1653922017449337
2017-07-26,1,-0.1657125995016897
2017-09-23,1,-0.16881445409554463
2017-08-05,1,-0.16932686865490643
2017-07-30,1,-0.17225796269230303
2017-09-08,1,-0.1722657502712711
2017-09-12,1,-0.17233845290011218
2017-09-04,1,-0.17614708900524229
2017-08-13,1,-0.1768042928670761
2017-08-11,1,-0.1771044726661296
2017-09-25,1,-0.17764122576794472
2017-09-03,1,-0.18047874081409288
2017-08-04,1,-0.18051429207406128
2017-09-06,1,-0.18251164903956235
