date,events_total,active_hours,first_hour,last_hour,night_events,unique_types,params_key_count_mean,file_events,login_attempt,login_successful,unique_paths,path_depth_mean,unique_dir1,unique_dir2,night_fraction,login_success_rate,path_reuse_ratio,anomaly_score,num_flagged_features,top_contributors
2017-07-11,7525,14,2,21,2,3,1.0,7495,17,13,7408,5.749102990033222,49,372,0.0002657807308969,0.7647058823079584,1.0117440604750254,72.7896307682348,6,unique_paths=7.41e+03 vs p95=389 (19.04x); unique_dir2=372 vs p95=19.8 (18.79x); file_events=7.5e+03 vs p95=428 (17.50x); events_total=7.52e+03 vs p95=491 (15.31x); unique_dir1=49 vs p95=7 (7.00x)
2017-08-18,387,13,1,22,3,5,1.005167958656331,32,188,165,23,0.2713178294573643,8,12,0.007751937984476,0.8776595744634168,1.3913043477655955,14.173913042585458,3,login_attempt=188 vs p95=23 (8.17x); login_successful=165 vs p95=21 (7.86x); unique_dir1=8 vs p95=7 (1.14x)
2017-07-23,64,8,2,22,2,6,1.734375,15,0,0,40,1.484375,25,18,0.0312499999995117,0.0,0.374999999990625,2.5714285709183673,1,unique_dir1=25 vs p95=7 (3.57x)
2017-08-24,876,14,2,22,2,5,1.0,632,19,19,531,4.454337899543379,3,10,0.0022831050228284,0.9999999999473684,1.19020715630661,1.6225944132293564,4,events_total=876 vs p95=491 (1.78x); file_events=632 vs p95=428 (1.48x); unique_paths=531 vs p95=389 (1.37x); login_success_rate=1 vs p95=1 (1.00x)
2017-07-17,499,19,1,23,2,6,1.0080160320641285,464,15,14,462,6.861723446893787,9,28,0.004008016032056,0.9333333332711112,1.0043290043268305,1.5488515381465633,7,unique_dir2=28 vs p95=19.8 (1.41x); path_depth_mean=6.86 vs p95=4.99 (1.38x); unique_dir1=9 vs p95=7 (1.29x); unique_paths=462 vs p95=389 (1.19x); active_hours=19 vs p95=16 (1.19x)
2017-08-30,254,20,0,22,16,3,1.0078740157480317,250,0,0,26,3.358267716535433,4,11,0.0629921259840039,0.0,9.615384615014792,1.019702689613712,2,path_reuse_ratio=9.62 vs p95=5.43 (1.77x); active_hours=20 vs p95=16 (1.25x)
2017-07-14,116,12,5,23,8,8,1.1206896551724137,56,27,21,50,1.3793103448275863,6,31,0.0689655172407847,0.7777777777489712,1.1199999999776,0.8824267516985922,3,unique_dir2=31 vs p95=19.8 (1.57x); login_attempt=27 vs p95=23 (1.17x); unique_types=8 vs p95=7 (1.14x)
2017-07-21,329,8,6,23,0,5,1.0,297,17,13,286,6.908814589665654,7,28,0.0,0.7647058823079584,1.0384615384579077,0.7990569850584737,2,unique_dir2=28 vs p95=19.8 (1.41x); path_depth_mean=6.91 vs p95=4.99 (1.38x)
2017-09-13,140,16,0,22,4,3,1.0,84,28,28,66,1.9214285714285717,4,14,0.0285714285712244,0.9999999999642856,1.272727272707989,0.5507246366004511,3,login_successful=28 vs p95=21 (1.33x); login_attempt=28 vs p95=23 (1.22x); login_success_rate=1 vs p95=1 (1.00x)
2017-10-02,9,1,2,2,9,1,1.0,9,0,0,9,3.0,1,1,0.9999999998888888,0.0,0.9999999998888888,0.5277777754022013,1,night_fraction=1 vs p95=0.655 (1.53x)
